Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			decrease	Could be a sensor that couples energy levels and insulin-like signals to lifespan. Knockout mutants have a 12% shorter lifespan.	pro		12	Knockout	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			decrease	37% decrease in median lifespna in daf-2 background and 54% decrease in lifespan in a wild-type background	pro		54	RNA interference	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			increase	Transgenic animals with a higher aak-2 gene dose live on average 13% longer than controls.	pro		13	Overexpression	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			increases	Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. 	pro			Overexpression	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			increases	Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. 				Overexpression	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			increases	Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. 	pro			Overexpression	
1	181727	aak-2	AMP-Activated Kinase	Caenorhabditis elegans	Cel.17479	T01C8.1			increases	Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. 	pro			Overexpression	
269	181492	aakb-1	AMP-Activated Kinase Beta subunit	Caenorhabditis elegans	Cel.860	F55F3.1			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
752	176552	aakb-2	AMP-Activated Kinase Beta subunit	Caenorhabditis elegans	Cel.9773	Y47D3A.15			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
1849	181736	aakg-2	Protein AAKG-2	Caenorhabditis elegans					increase	aakg-2 overexpression extends mean, median, and maximum lifespan by 47, 45, and 35%. 	pro	35	47	Overexpression	
2	185079	aat-8	Amino Acid Transporter	Caenorhabditis elegans	Cel.13054	F28F9.4			increase	RNA interference increased mean lifespan by 30%.	anti		30	RNA interference	
657	183860	abcx-1	ABC transporter, eXtended	Caenorhabditis elegans	Cel.24987	C56E6.1			increase	RNA interference in adulthood extended mean lifespan by 16%.	anti		16	RNA interference	
3	173404	abu-11	Activated in Blocked Unfolded protein response	Caenorhabditis elegans	Cel.14499	T01D1.6			increase	Overexpression extends mean lifespan by 9% to 28%.	pro		28	Overexpression	
300	177654	acdh-13	Acyl CoA DeHydrogenase	Caenorhabditis elegans	Cel.7888	C28C12.9			increase	RNA interference increased mean lifespan by 57%.	anti		57	RNA interference	
884	181706	ace-1	abnormal ACEtylcholinesterase	Caenorhabditis elegans		W09B12.1			increase	8% mean lifespan extension	anti		8	RNA interference	
4	185044	acl-11	ACyLtransferase-like	Caenorhabditis elegans	Cel.24997	F28B3.9			increase	RNA interference leads to lifespan extension.	anti			RNA interference	
2101	180780	acn-1	Inactive angiotensin-converting enzyme-related protein	Caenorhabditis elegans					increase	When acn-1, a worm homologue of ACE, was downregulated mean lifespan was increased 21% and maximum lifespan increased 18%. Similar results were shown when acn-1 was downregulated from adulthood. In addition, lifespan was increased at higher temperatures, age-related degenerative changes were delayed and stress resistance was increased. 	anti	18	21	RNA interference	
5	176121	aco-2	ACOnitase	Caenorhabditis elegans	Cel.17858	F54H12.1			increase	RNA interference leads to lifespan extension.	anti			RNA interference	
5	176121	aco-2	ACOnitase	Caenorhabditis elegans	Cel.17858	F54H12.1			increase	30% mean lifespan extension in daf2 background; no lifespan measurement in wt background	anti			RNA interference	
5	176121	aco-2	ACOnitase	Caenorhabditis elegans	Cel.17858	F54H12.1			increase	RNA interference of aco-2 results in an increased lifespan.	anti		20.5	RNA interference	
245	178190	acs-20	Protein ACS-20	Caenorhabditis elegans	Cel.5847	F28D1.9			decrease	RNA interference decreased median lifespan by 50% in wild type animals and 70% in daf-2 mutants.	pro		50	RNA interference	
2051	176005	acs-4	fatty Acid CoA Synthetase family	Caenorhabditis elegans	5646				increase	RNA interference of acs-4 results in an increased lifespan.	anti		6.1	RNA interference	
772	176785	acs-5	fatty Acid CoA Synthetase family	Caenorhabditis elegans	Cel.33	Y76A2B.3			increase	RNA interference increased mean lifespan by 52%.	anti		52	RNA interference	
901	174472	acs-7	hypothetical protein	Caenorhabditis elegans		C01G6.7			increase	20% mean lifespan extension	anti		20	RNA interference post development	
885	172542	adr-1	Adenosine Deaminase that acts on RNA	Caenorhabditis elegans		H15N14.1			decrease	Median lifespan reduced by 50%. 	pro		50	RNA interference post development	
886	176022	adr-2	Adenosine Deaminase that acts on RNA	Caenorhabditis elegans		T20H4.4			decrease	Median lifespan reduced by 50%. 	pro		50	RNA interference post development	
