NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
185079		Q94197
173404		P91419
181706	P38433	
181706	P38433	
180780	Q18581	
180780	Q18581	
180780	Q18581	
176121	P34455	
176121	P34455	
176121	P34455	
172542	Q9U3D6	
172542	Q9U3D6	
172542	Q9U3D6	
172542	Q9U3D6	
172542	Q9U3D6	
176022	Q22618	
176022	Q22618	
174762	Q94125	
174762		A0A0K3ARF0
172889	O02219	
172889	O02219	
179898		Q9XUW8
179424	Q17941	
179424	Q17941	
179424	Q17941	
179424	Q17941	
179424	Q17941	
173468		O16720
173468		Q86B39
173510		G5EC31
173510		G5EC31
173510		G5EC31
173510		Q86N72
173510		Q86N72
173510		Q86N72
173510		Q6A593
173510		Q6A593
173510		Q6A593
173510		G4RZC3
186047	Q20605	
180783	Q10651	
180783	Q10651	
178989		O16369
171691		Q8T874
191609	Q94231	
178405		G5EDC6
180446	P51485	
175605		Q20053
175605		Q20053
180718		Q19126
180718		Q19126
180718		Q19126
172673	P90921	
180956	Q18803	
176879	Q9UAY4	
176879		G8JY85
181405		Q20435
175716	P46561	
175716	P46561	
175716	P46561	
172195		P91283
172195		P91283
172195		P91283
172195		P91283
172195		P91283
172195		Q7JNG1
176330	Q03565	
180982	Q18825	
177345	Q22592	
177345	Q22592	
179948		G5EGL7
179948		G5EGL7
179948		G5ECF4
179948		G5ECF4
181481		Q20741
172832		P90849
172832		P90849
172832		P90849
178184		G5EE09
178184		Q9U1P4
178184		Q8I4B4
178184		Q8I4B4
178184		B3GWC3
178184		A0A061AD13
174318	P41988	
174330	P47208	
174330	P47208	
175819	P46550	
175819	P46550	
175819		G8JY43
175819		G8JY43
172353	O44552	
172353	O44552	
176260	P30634	
171784	G5EFV5	
171784	G5EFV5	
171784	G5EFV5	
178272	P42573	
178272		D3YT61
175811	P41935	
180671	P41934	
180671		Q8MPS1
180671		H2L052
3565545	P41779	
176096	P34663	
181530	Q93356	
181530	Q93356	
181530	Q93356	
181530		A0A078BPG5
181530		A0A078BPE8
172814	Q17607	
172814	Q17607	
172814		Q6A3Q2
172616	Q20646	
172616	Q20646	
172616	Q20646	
180401		G5EGF0
180401		G5EGF0
172593	Q19542	
179666		P90757
186607	Q93833	
186607	Q93833	
3565921	Q9N3Z3	
3565921	Q9N3Z3	
3565921	Q9N3Z3	
172303		G5ECY6
172303		G5ECY6
176126	P34424	
176126	P34424	
176546		Q9U2D2
175729	P48376	
179572	G5EDN6	
179572		H9G2Y1
259335		Q9U348
171986		O01542
174634		G5EG59
177391	Q9TZP5	
177391	Q9TZP5	
177391	Q9TZP5	
176770		G5EE14
176770		G5ED40
176466	Q17389	
176104	P34271	
178894		O44626
172582		Q18853
175853	Q8WT44	
175853	Q8WT44	
176829	P20792	
176829	P20792	
175410	Q968Y9	
175410	Q968Y9	
175410		A0A0K3AUY1
175410		A0A0K3AUY1
175410		A0A0K3AXA0
175410		A0A0K3ARZ1
175410		A0A0K3AUA1
175410		A0A0K3ARE8
180431		Q95QI7
180431		Q95QI8
180431		O17532
180431		A0A0K3AVK9
180431		A0A0K3ASQ1
180431		A0A0K3AWB3
180431		A0A0K3AYJ4
180431		A0A0K3AYJ4
180431		A0A0K3ATA0
180431		A0A0K3ATA0
180431		A0A0K3AVL3
175781	P50488	
175781	P50488	
175781		A0A131MBJ8
175781		Q8ITX8
175781		G8JY02
175781		A0A131MB12
175054		G5EDM7
181584		Q19945
175237	P92172	
187612		Q21733
180889	H2KYS3	
180889	H2KYS3	
184883	G5EFW7	
181263	G5EFF5	
181263	G5EFF5	
181263	G5EFF5	
181263	G5EFF5	
177908		G5EEP2
177908		F5GUE5
177770		G5EF88
177770		G5EEV7
177770		Q68TI8
177770		S6F588
177770		S6FD39
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981	O16850	
172981		A0A0K3AWG6
172981		A0A0K3AR63
172981		A0A0K3AR95
172981		A0A0K3ATP5
176869	G5EE01	
174577	Q09555	
174577	Q09555	
174577		G5EBW8
174577		C0P280
174577		S6EZR7
191014		Q9NEK7
176138	P34529	
176138	P34529	
179574	O76554	
179574		H9G2Y4
179741	Q21929	
177875	Q17632	
177875	Q17632	
173128	O01700	
173128	O01700	
173128	O01700	
173128	O01700	
173128		D6VPA3
173128		D6VPA3
172231	P91454	
175492	P48996	
175072	Q9U298	
174476		Q18965
179796		P90735
179796		P90735
181423	P54688	
175975	P53013	
175975	P53013	
175975	P53013	
179412	G5ECN9	
