Entrez Gene ID	UniProtKB/Swiss-Prot ID	STRING ID	Gene ID	Gene Symbol	Ensembl ID	Longevity Influence
173404	P91419	6239.T01D1.6	3	abu-11	T01D1.6	pro
181706	P38433	6239.W09B12.1.2	884	ace-1	W09B12.1	anti
180780	Q18581	6239.C42D8.5a	2101	acn-1		anti
172542	Q9U3D6	6239.H15N14.1c	885	adr-1	H15N14.1	pro
176022	Q22618	6239.T20H4.4	886	adr-2	T20H4.4	pro
174762	Q94125	6239.B0334.8	7	age-1	B0334.8	anti
172889	O02219	6239.C25A1.11a	1826	aha-1		pro
179898	Q9XUW8	6239.F58E10.4	887	aip-1	F58E10.4	pro
179424	Q17941	6239.C12D8.10b	10	akt-1	C12D8.10	anti
173468	O16720	6239.T07D3.7a	11	alg-2	T07D3.7	pro
186047	Q20605	6239.F49E11.3	12	amt-2	F49E11.3	anti
180783	Q10651	6239.C42D8.8a	2093	apl-1		pro
178989	O16369	6239.F29G9.3	1770	aps-1		anti
191609	Q94231	6239.F45E4.1	890	arf-1.1	F45E4.1	anti
178405	G5EDC6	6239.Y57G11C.13	14	arl-8	Y57G11C.13	pro
180446	P51485	6239.F53H8.2	891	arr-1	F53H8.2	anti
176879	Q9UAY4	6239.W03G1.7a	20	asm-3	W03G1.7	anti
181405	Q20435	6239.F45E6.2	1879	atf-6		anti
175716	P46561	6239.C34E10.6.1	25	atp-2	C34E10.6	anti
176330	Q03565	6239.B0464.7	38	baf-1	B0464.7	pro
180982	Q18825	6239.C54D1.6	39	bar-1	C54D1.6	pro
177345	Q22592	6239.T19E7.3	44	bec-1	T19E7.3	pro
181481	Q20741	6239.F54B11.6	47	bra-1	F54B11.6	pro
172832	P90849	6239.F26E4.9.3	95	cco-1	F26E4.9	anti
174330	P47208	6239.K01C8.10.2	99	cct-4	K01C8.10	anti
172353	O44552	6239.K06A5.7.1	103	cdc-25.1	K06A5.7	anti
171784	G5EFV5	6239.Y39G10AL.3.1	107	cdk-7	Y39G10AL.3	pro
178272	P42573	6239.C48D1.2a	112	ced-3	C48D1.2	anti
175811	P41935	6239.W03A3.1	908	ceh-10	W03A3.1	pro
180671	P41934	6239.ZC64.3a	113	ceh-18	ZC64.3	anti
3565545	P41779	6239.F31E3.1	1820	ceh-20		pro
176096	P34663	6239.ZK652.5	1819	ceh-23		pro
181530	Q93356	6239.C37E2.5	1825	ceh-37		pro
172814	Q17607	6239.C03D6.3a	115	cel-1	C03D6.3	pro
172616	Q20646	6239.F52B5.5a.2	116	cep-1	F52B5.5	anti
180401	G5EGF0	6239.F38G1.1.2	120	che-2	F38G1.1	anti
172593	Q19542	6239.F18C12.1	121	che-3	F18C12.1	anti
179666	P90757	6239.C27A7.4	118	che-11	C27A7.4	anti
186607	Q93833	6239.F59C6.7a	119	che-13	F59C6.7	anti
3565921	Q9N3Z3	6239.Y39H10A.7a.2	125	chk-1	Y39H10A.7	anti
172303	G5ECY6	6239.T09B4.10.1	1771	chn-1		anti
176126	P34424	6239.F44B9.3a	127	cit-1.2	F44B9.3	pro
176546	Q9U2D2	6239.Y47D3A.4	129	cku-70	Y47D3A.4	anti
175729	P48376	6239.ZC395.2	130	clk-1	ZC395.2	anti
174634	G5EG59	6239.C14A4.5	138	crn-5	C14A4.5	anti
177391	Q9TZP5	6239.Y73B6BL.7	2121	csp-2		anti
176770	G5EE14	6239.Y76A2A.2a	142	cua-1	Y76A2A.2	pro
176466	Q17389	6239.D2045.6	143	cul-1	D2045.6	pro
176104	P34271	6239.C02C2.3	910	cup-4	C02C2.3	pro
172582	Q18853	6239.C54G4.8	145	cyc-1	C54G4.8	anti
175853	Q8WT44	6239.ZK328.1b	2234	cyk-3		anti
176829	P20792	6239.F29C4.1a	156	daf-1	F29C4.1	anti
175410	Q968Y9	6239.Y55D5A.5a	163	daf-2	Y55D5A.5	anti
180431	Q95QI7	6239.F25E2.5a	165	daf-3	F25E2.5	anti
175781	P50488	6239.C05D2.1a	166	daf-4	C05D2.1	anti
175054	G5EDM7	6239.W01G7.1	167	daf-5	W01G7.1	pro
181584	Q19945	6239.F31F6.5	168	daf-6	F31F6.5	anti
175237	P92172	6239.B0412.2	169	daf-7	B0412.2	anti
187612	Q21733	6239.R05D11.1	170	daf-8	R05D11.1	anti
180889	H2KYS3	6239.T13C5.1a	171	daf-9	T13C5.1	anti
184883	G5EFW7	6239.F23B2.4	239	daf-10	F23B2.4	anti
181263	G5EFF5	6239.F11A1.3a	157	daf-12	F11A1.3	anti
172981	O16850	6239.R13H8.1h	160	daf-16	R13H8.1	pro
